Parameter,Value,Definition
R0,67,unfished recruitment at equilibrium
reck,2.8,recruitment compensation ratio - the difference in juvenile survival between unfished and near zero density
K,0.13,von Bertalanffy 'growth' parameter
Madult,0.1627,mortality of fish at Linf
lh,0.27,length at 50% capture probability (as a proportion of Linf)
lsd,0.045,slope of logistic function at 50% capture probability
afec,1,fecundity multiplier on weight
Wmat,0.15,"minimum weight, at maturity"
Ms,0.05;0.08,maximum survival for each pre-recruit stanza
Bs,10;9,relative available habitat for each pre-recruit stanza
V1,50,initial number of vulnerable fish in the population
sd.S,0.6,standard deviation in recruitment across years
