"pop_name","sim","init_total_age1plus","init_vulnerable_ageplus","init_adults_ageplus","adult_frac_within_vulnerable"
"Example",1,7611,4768,4471,0.937709731543624
"Example",2,7611,4769,4366,0.915495911092472
"Example",3,7611,4637,4484,0.967004528790166
"Example",4,7611,5272,4642,0.880500758725341
"Example",5,7611,4095,3615,0.882783882783883
"Example",6,7611,5844,4677,0.800308008213552
"Example",7,7611,5394,4267,0.791064145346681
"Example",8,7611,4955,4801,0.968920282542886
"Example",9,7611,4983,4698,0.942805538832029
"Example",10,7611,5587,5363,0.959906926794344
"Example",11,7611,5198,4988,0.959599846094652
"Example",12,7611,5708,5239,0.917834618079888
"Example",13,7611,5171,4717,0.912202668729453
"Example",14,7611,5504,5392,0.979651162790698
"Example",15,7611,5288,4586,0.867246596066566
"Example",16,7611,4265,4029,0.944665885111372
"Example",17,7611,5004,4546,0.908473221422862
"Example",18,7611,4311,3597,0.83437717466945
"Example",19,7611,4585,4217,0.919738276990185
"Example",20,7611,6026,5828,0.96714238300697
"Example",21,7611,5893,4393,0.745460716103852
"Example",22,7611,4658,4259,0.914340918849292
"Example",23,7611,5456,4869,0.892412023460411
"Example",24,7611,4850,4655,0.95979381443299
"Example",25,7611,5578,5318,0.95338831122266
"Example",26,7611,4626,4261,0.921098140942499
"Example",27,7611,5505,4631,0.841235240690282
"Example",28,7611,6316,5580,0.883470550981634
"Example",29,7611,6382,5442,0.85271074898151
"Example",30,7611,3712,3450,0.929418103448276
"Example",31,7611,5136,4866,0.947429906542056
"Example",32,7611,6047,5713,0.944765999669257
"Example",33,7611,4901,4492,0.916547643338094
"Example",34,7611,5201,4812,0.925206691020958
"Example",35,7611,5780,5207,0.900865051903114
"Example",36,7611,5762,5494,0.953488372093023
"Example",37,7611,5636,5002,0.887508871540099
"Example",38,7611,5334,5104,0.956880389951256
"Example",39,7611,4409,3169,0.718757087775006
"Example",40,7611,5194,4988,0.960338852522141
"Example",41,7611,6008,5848,0.973368841544607
"Example",42,7611,5354,4817,0.899701158012701
"Example",43,7611,4826,4478,0.927890592623291
"Example",44,7611,5603,5279,0.942173835445297
"Example",45,7611,3753,3480,0.927258193445244
"Example",46,7611,6110,5794,0.948281505728314
"Example",47,7611,5024,4064,0.808917197452229
"Example",48,7611,6328,5841,0.923040455120101
"Example",49,7611,4889,4717,0.964818981386787
"Example",50,7611,5794,5359,0.924922333448395
"Example",51,7611,6072,5018,0.826416337285902
"Example",52,7611,5382,4037,0.750092902266815
"Example",53,7611,4859,4714,0.970158468820745
"Example",54,7611,5638,5299,0.939872295140121
"Example",55,7611,4898,4447,0.907921600653328
"Example",56,7611,3823,3576,0.935391054145959
"Example",57,7611,5081,4636,0.912418815193859
"Example",58,7611,4712,4646,0.985993208828523
"Example",59,7611,4701,4362,0.927887683471602
"Example",60,7611,4895,4444,0.907865168539326
"Example",61,7611,5921,5810,0.981253166694815
"Example",62,7611,5255,4946,0.941198858230257
"Example",63,7611,4448,3977,0.894109712230216
"Example",64,7611,5570,4831,0.867324955116697
"Example",65,7611,5366,4942,0.920983973164368
"Example",66,7611,5340,5197,0.973220973782772
"Example",67,7611,4355,4105,0.942594718714122
