"pop_name","sim","init_total_age1plus","init_vulnerable_ageplus","init_adults_ageplus","adult_frac_within_vulnerable"
"Suwannee",1,10975,5659,4248,0.75066266124757
"Suwannee",2,10975,3593,3443,0.95825215697189
"Suwannee",3,10975,7129,5051,0.708514518165241
"Suwannee",4,10975,6629,6006,0.906019007391763
"Suwannee",5,10975,2588,2244,0.867078825347759
"Suwannee",6,10975,7728,7006,0.906573498964803
"Suwannee",7,10975,3463,3141,0.907017037250939
"Suwannee",8,10975,7664,6627,0.864692066805846
"Suwannee",9,10975,5102,3922,0.768718149745198
"Suwannee",10,10975,5053,4733,0.936671284385514
"Suwannee",11,10975,4510,4311,0.955875831485588
"Suwannee",12,10975,3649,3497,0.958344751986846
"Suwannee",13,10975,5737,5086,0.88652605891581
"Suwannee",14,10975,5133,4476,0.872004675628288
"Suwannee",15,10975,3658,3063,0.837342810278841
"Suwannee",16,10975,2903,2826,0.973475714777816
"Suwannee",17,10975,5024,4556,0.906847133757962
"Suwannee",18,10975,4628,3809,0.823033707865168
"Suwannee",19,10975,6074,5403,0.889529140599276
"Suwannee",20,10975,5851,4894,0.836438215689626
"Suwannee",21,10975,5850,5385,0.92051282051282
"Suwannee",22,10975,5887,4701,0.798539154068286
"Suwannee",23,10975,5340,4924,0.922097378277154
"Suwannee",24,10975,4894,4442,0.907642010625255
"Suwannee",25,10975,5504,4746,0.862281976744186
"Suwannee",26,10975,2823,2644,0.936592277718739
"Suwannee",27,10975,6378,5466,0.857008466603951
"Suwannee",28,10975,6842,5972,0.87284419760304
"Suwannee",29,10975,6078,4856,0.798947022046726
"Suwannee",30,10975,3193,3001,0.939868462261196
"Suwannee",31,10975,5084,4418,0.869000786782061
"Suwannee",32,10975,4396,3998,0.909463148316652
"Suwannee",33,10975,6436,5562,0.864201367308888
"Suwannee",34,10975,7953,5445,0.684647302904564
"Suwannee",35,10975,5520,3750,0.679347826086957
"Suwannee",36,10975,6475,5410,0.835521235521235
"Suwannee",37,10975,6140,5252,0.855374592833876
"Suwannee",38,10975,4225,3861,0.913846153846154
"Suwannee",39,10975,4990,4488,0.89939879759519
"Suwannee",40,10975,5930,4288,0.723102866779089
"Suwannee",41,10975,7050,6140,0.870921985815603
"Suwannee",42,10975,4672,4151,0.888484589041096
"Suwannee",43,10975,5879,5615,0.955094403810172
"Suwannee",44,10975,4669,3896,0.834439922895695
"Suwannee",45,10975,4165,3299,0.792076830732293
"Suwannee",46,10975,6276,4523,0.72068196303378
"Suwannee",47,10975,3862,3475,0.899792853443812
"Suwannee",48,10975,6506,5672,0.87181063633569
"Suwannee",49,10975,3574,3444,0.963626189143816
"Suwannee",50,10975,4781,3721,0.778289060865928
"Suwannee",51,10975,4651,3819,0.821113738980864
"Suwannee",52,10975,4812,4509,0.937032418952618
"Suwannee",53,10975,5829,5087,0.872705438325613
"Suwannee",54,10975,4630,3950,0.853131749460043
"Suwannee",55,10975,5058,4003,0.791419533412416
"Suwannee",56,10975,5020,4509,0.898207171314741
"Suwannee",57,10975,4355,3932,0.902870264064294
"Suwannee",58,10975,3955,2447,0.618710493046776
"Suwannee",59,10975,6047,5095,0.842566561931536
"Suwannee",60,10975,5257,4400,0.836979265740917
"Suwannee",61,10975,7298,6488,0.889010687859688
"Suwannee",62,10975,3713,2877,0.774845138701858
"Suwannee",63,10975,3589,3044,0.848147116188353
"Suwannee",64,10975,3925,3404,0.867261146496815
"Suwannee",65,10975,3526,3403,0.965116279069767
"Suwannee",66,10975,4755,3686,0.775184016824395
"Suwannee",67,10975,5743,5274,0.918335364791921
"Suwannee",68,10975,4421,3744,0.846867224609817
"Suwannee",69,10975,1942,1663,0.856333676622039
"Suwannee",70,10975,5265,4511,0.85679012345679
"Suwannee",71,10975,4419,3948,0.893414799728445
"Suwannee",72,10975,4087,3392,0.829948617567898
"Suwannee",73,10975,6362,4935,0.775699465576863
"Suwannee",74,10975,6117,5439,0.889161353604708
"Suwannee",75,10975,5072,4480,0.883280757097792
"Suwannee",76,10975,5373,4614,0.858738135120045
"Suwannee",77,10975,5079,4597,0.905099429021461
"Suwannee",78,10975,4912,4092,0.833061889250814
"Suwannee",79,10975,4257,3505,0.823349776838149
"Suwannee",80,10975,4995,4158,0.832432432432432
"Suwannee",81,10975,4482,3534,0.788487282463186
"Suwannee",82,10975,1849,1445,0.781503515413737
"Suwannee",83,10975,5553,4297,0.773815955339456
"Suwannee",84,10975,3091,2253,0.728890326755095
"Suwannee",85,10975,5814,4201,0.722566219470244
"Suwannee",86,10975,6263,5413,0.864282292830912
"Suwannee",87,10975,4707,4155,0.882727852135118
"Suwannee",88,10975,4591,4355,0.948595077325201
"Suwannee",89,10975,5324,4615,0.866829451540195
"Suwannee",90,10975,5142,3369,0.655192532088681
"Suwannee",91,10975,4894,4173,0.852676747037188
"Suwannee",92,10975,5040,4600,0.912698412698413
"Suwannee",93,10975,4777,4312,0.902658572325727
"Suwannee",94,10975,6042,4964,0.821582257530619
"Suwannee",95,10975,4449,3611,0.811643065857496
"Suwannee",96,10975,2979,2456,0.824437730782142
"Suwannee",97,10975,2405,1920,0.798336798336798
"Suwannee",98,10975,2496,2363,0.946714743589744
"Suwannee",99,10975,4852,4096,0.844187963726298
"Suwannee",100,10975,5945,5300,0.891505466778806
"Suwannee",101,10975,4721,4158,0.880745604744757
"Suwannee",102,10975,5160,4649,0.900968992248062
